wave,flux,err,co
8033.411247579731,14.8009,0.7845249,15.165839
8035.261221856169,15.731,0.7817798,15.128812
8037.1116221539805,13.5137,0.76191497,15.092268
8038.962448571255,15.9437,0.7797428,15.056271
8040.813701206137,15.4071,0.7521072,15.020853
8042.665380156763,15.0899,0.74829465,14.985612
8044.517485521323,14.6717,0.73872495,14.950429
8046.370017397997,14.4146,0.728444,14.915338
8048.222975885021,14.7037,0.729228,14.880372
8050.076361080621,14.9733,0.74898696,14.845567
8051.930173083077,15.6544,0.810574,14.810955
8053.78441199066,14.7933,0.87286156,14.776571
8055.639077901697,13.2042,0.8323599,14.742449
8057.494170914513,14.1106,0.7598578,14.708622
8059.349691127453,14.2552,0.74407357,14.675125
8061.205638638904,14.3075,0.77644056,14.641992
8063.062013547275,15.3999,0.9476864,14.609258
8064.9188159509795,14.0399,1.04721,14.576955
8066.776045948456,13.8058,0.94136256,14.54512
8068.63370363819,14.9197,0.8013294,14.513786
8070.491789118655,13.5213,0.7540869,14.482987
8072.350302488382,14.7152,0.74189365,14.452759
8074.209243845891,14.1968,0.7399839,14.423135
8076.068613289757,14.5194,0.7462728,14.394151
8077.928410918546,14.3308,0.74625,14.365839
