sdss_name_j,sdss_name,fitsname,zqso,zabs,snr_m_3934,snr_m_3969,snr_3934_center,snr_3969_center,ew1,ew2,drift1,drift2,fwhm1,fwhm2,ew1_err,ew2_err,FWHM1,FWHM2,RA_j,DEC_j,PLATE_j,FIBER_j,MJD_j
SDSS J143208.59+464041.4,SDSS J143208.59+464041.4,spSpec-53462-1673-006.fit,1.293903947,0.574507475,2.770820021,2.402903531,2.770820023,2.40290353,0.239913711,0.154624473,2.196824165,0.830200132,1.262144438,1.120219259,0.086585815,0.064349014,2.437547407,2.173328936,218.035791,46.67818,1673,6,53462
SDSS J102426.81+524515.4,SDSS J102426.81+524515.4,spSpec-52381-0904-010.fit,1.367897034,0.865595281,3.370728588,2.37426234,3.560664643,2.552467144,0.667151366,0.479312174,1.180415834,0.720401353,1.30807444,1.944142921,0.197924973,0.201878354,2.064365933,1.958034503,156.111702,52.754276,904,10,52381
SDSS J133006.16+581012.6,SDSS J133006.16+581012.6,spec-6829-56453-0800.fits,1.491999984,1.00882256,4.006253921,3.132216172,3.990369142,3.132216172,0.151390951,0.102256569,2.188900409,1.584853926,2.112713371,1.800936615,0.037788656,0.032646715,1.753218609,0.849351607,202.525676,58.17017735,6829,800,56453
SDSS J114814.89+205706.0,SDSS J114814.89+205706.0,spec-6432-56309-0842.fits,1.453999996,1.045025945,3.658627299,3.014897566,3.658627299,3.015579325,0.740253834,0.489389939,0.903216169,-1.247108608,2.664284386,2.20184522,0.202331031,0.162323903,1.492580963,1.653645508,177.0620532,20.95166241,6432,842,56309
SDSS J164807.56+254407.2,SDSS J164807.56+254407.2,spec-4185-55469-0294.fits,2.190999985,1.343078852,5.254831315,3.853266627,5.254831315,3.853266627,0.165932735,0.086022913,-1.009371544,1.396222267,1.850955427,0.828516257,0.031577176,0.022324672,1.30807444,1.944142921,252.0314928,25.73532449,4185,294,55469
SDSS J044850.13+003838.8,SDSS J044850.13+003838.8,spSpec-52263-0797-453.fit,0.893468022,0.664140284,2.738793319,2.207986523,2.738793316,2.207986525,0.511636111,0.266227598,-0.018745152,-1.426895111,3.46309734,2.275562212,0.186810778,0.120574829,2.23625683,2.363737379,72.208878,0.644108,797,453,52263
SDSS J135209.83+534824.9,SDSS J135209.83+534824.9,spSpec-52465-1043-534.fit,0.754827023,0.492506206,3.792955884,3.242871693,3.803457343,3.24287169,0.470310929,0.500346228,0.000611508,0.469040789,1.539063649,2.124999501,0.123995887,0.154291096,2.01786716,1.579637974,208.040973,53.806907,1043,534,52465
SDSS J102546.29+242159.6,SDSS J102546.29+242159.6,spec-6464-56309-0374.fits,2.111000061,0.944068074,5.002308568,3.40581349,5.002308569,3.405813491,1.370357108,0.609406519,0.68804763,1.35348291,3.298291078,1.136095292,0.273944937,0.178931266,1.845238197,1.821327745,156.4428677,24.3665683,6464,374,56309
SDSS J155014.03+111134.6,SDSS J155014.03+111134.6,spec-4882-55721-0472.fits,1.406999946,0.832697392,3.954355254,2.71891387,3.991747632,2.838859124,0.266618447,0.188527419,0.221108628,1.810566935,2.829406525,1.934305124,0.067423999,0.069339239,2.444492469,1.958799048,237.558459,11.19295447,4882,472,55721
SDSS J025440.91-000242.6,SDSS J025440.91-000242.6,spec-4241-55450-0013.fits,2.489000082,0.998980343,3.546480218,3.13406845,3.546480218,3.134068449,0.673433016,0.517574864,-0.909125749,-1.142994654,2.332949274,2.12199599,0.189887712,0.165144722,1.886834304,1.224009022,43.670469,-0.045153,4241,13,55450
